Unique Identifier,Facility,Facility Key,Market Key,Market,Region Key,Region
Lafayette - New Iberia,New Iberia,NIB,SE_LFYT,Lafayette,R_SE,Southeast
Hampton Roads - New Kent,New Kent,NKT,VA_HTR,Hampton Roads,R_VA,Virginia
New Orleans - NO East,NO East,NOE,SE_NOR,New Orleans,R_SE,Southeast
Oklahoma City - Norman,Norman,NOR,CEN_OKC,Oklahoma City,R_CEN,Central
Hampton Roads - Norfolk,Norfolk,NRF,VA_HTR,Hampton Roads,R_VA,Virginia
Arizona - N Scottsdale,N Scottsdale,NSC,SW_AZ,Arizona,R_SW,Southwest
Baton Rouge - North Baton Rouge,North Baton Rouge,NTH,SE_BTR,Baton Rouge,R_SE,Southeast
NW Arkansas - Johnson,Johnson,NWA,CEN_NWA,NW Arkansas,R_CEN,Central
Hampton Roads - Newport,Newport,NWP,VA_HTR,Hampton Roads,R_VA,Virginia
Kansas - Newton,Newton,NWT,CEN_KS,Kansas,R_CEN,Central
San Diego - Oceanside,Oceanside,OCE,CA_SD,San Diego,R_CA,California
Central Florida - Ocala,Ocala,OCL,SE_CFL,Central Florida,R_SE,Southeast
Hampton Roads - Oceana,Oceana,OCN,VA_HTR,Hampton Roads,R_VA,Virginia
Oklahoma City - MTC,MTC,OKC,CEN_OKC,Oklahoma City,R_CEN,Central
Kansas - Iola,Iola,OLA,CEN_KS,Kansas,R_CEN,Central
Omaha - North,North,ONA,CEN_OMH,Omaha,R_CEN,Central
Orange County - Orange (OR),Orange (OR),ORG,CA_OC,Orange County,R_CA,California
Tulsa - Owasso,Owasso,OWA,CEN_TLSA,Tulsa,R_CEN,Central
Orange County - Palos Verdes (PV),Palos Verdes (PV),PAV,CA_OC,Orange County,R_CA,California
Rhode Island - Pawtucket,Pawtucket,PAW,NE_RI,Rhode Island,R_NE,New England
Arizona - Peoria,Peoria,PEO,SW_AZ,Arizona,R_SW,Southwest
Kansas - Pittsburg,Pittsburg,PIT,CEN_KS,Kansas,R_CEN,Central
Baton Rouge - Plaquemine,Plaquemine,PLQ,SE_BTR,Baton Rouge,R_SE,Southeast
Arizona - Pinal County,Pinal County,PNL,SW_AZ,Arizona,R_SW,Southwest
Gulf Coast - Pensacola,Pensacola,PNS,SE_GC,Gulf Coast,R_SE,Southeast
Hampton Roads - Princess Anne,Princess Anne,PRA,VA_HTR,Hampton Roads,R_VA,Virginia
Hampton Roads - Portsmouth,Portsmouth,PRM,VA_HTR,Hampton Roads,R_VA,Virginia
Kansas - Pratt,Pratt,PRT,CEN_KS,Kansas,R_CEN,Central
Rhode Island - Providence,Providence,PRV,NE_RI,Rhode Island,R_NE,New England
Rhode Island - Portsmouth,Portsmouth,PTM,NE_RI,Rhode Island,R_NE,New England
San Diego - Poway,Poway,PWY,CA_SD,San Diego,R_CA,California
Tulsa - Quincy,Quincy,QNC,CEN_TLSA,Tulsa,R_CEN,Central
Northern Va - Rosehill,Rosehill,RHL,VA_NVA,Northern Va,R_VA,Virginia
Connecticut - Rocky Hill,Rocky Hill,RKH,NE_CT,Connecticut,R_NE,New England
Rhode Island - Richmond,Richmond,RMD,NE_RI,Rhode Island,R_NE,New England
Roanoke - Roanoke,Roanoke,RON,VA_RNK,Roanoke,R_VA,Virginia
Orange County - Rancho Santa Margarita (RSM),Rancho Santa Margarita (RSM),RSM,CA_OC,Orange County,R_CA,California
Santa Barbara - Santa Barbara,Santa Barbara,SAB,CA_SB,Santa Barbara,R_CA,California
Kansas - Salina,Salina,SAL,CEN_KS,Kansas,R_CEN,Central
Tulsa - Sapulpa,Sapulpa,SAP,CEN_TLSA,Tulsa,R_CEN,Central
Rhode Island - Scituate,Scituate,SCT,NE_RI,Rhode Island,R_NE,New England
Connecticut - Stafford,Stafford,SFD,NE_CT,Connecticut,R_NE,New England
Oklahoma City - Southeast,Southeast,SHE,CEN_OKC,Oklahoma City,R_CEN,Central
Oklahoma City - South,South,SOH,CEN_OKC,Oklahoma City,R_CEN,Central
Omaha - South,South,SOU,CEN_OMH,Omaha,R_CEN,Central
Baton Rouge - South Baton Rouge,South Baton Rouge,SPC,SE_BTR,Baton Rouge,R_SE,Southeast
Oklahoma City - Sara Rd,Sara Rd,SRH,CEN_OKC,Oklahoma City,R_CEN,Central
Arizona - S Scottsdale,S Scottsdale,SSC,SW_AZ,Arizona,R_SW,Southwest
NW Arkansas - Siloam springs,Siloam springs,SSP,CEN_NWA,NW Arkansas,R_CEN,Central
New Orleans - St. Bernard,St. Bernard,STB,SE_NOR,New Orleans,R_SE,Southeast
Lafayette - St Martin,St Martin,STM,SE_LFYT,Lafayette,R_SE,Southeast
Connecticut - Southington,Southington,STN,NE_CT,Connecticut,R_NE,New England
